service_id,date,exception_type
20192013multint-0001100,20190627,1
20192013multint-1111100,20190627,1
20192013multint-0000100,20190628,1
20192013multint-0001100,20190628,1
20192013multint-1111100,20190628,1
20192511multint-0000010,20190629,1
20192611multint-0000001,20190630,1
20192611multint-0000001,20190701,1
20192011multint-1111100,20190702,1
20192011multint-1111100,20190703,1
20192014multint-0001100,20190704,1
20192014multint-1111100,20190704,1
20192014multint-0000100,20190705,1
20192014multint-0001100,20190705,1
20192014multint-1111100,20190705,1
20192514multint-0000010,20190706,1
20192614multint-0000001,20190707,1
20192014multint-1111100,20190708,1
20192014multint-1111100,20190709,1
20192014multint-1111100,20190710,1
20192014multint-0001100,20190711,1
20192014multint-1111100,20190711,1
20192014multint-0000100,20190712,1
20192014multint-0001100,20190712,1
20192014multint-1111100,20190712,1
20192514multint-0000010,20190713,1
20192614multint-0000001,20190714,1
20192011multint-1111100,20190715,1
20192011multint-1111100,20190716,1
20192011multint-1111100,20190717,1
20192011multint-0001100,20190718,1
20192011multint-1111100,20190718,1
20192011multint-0000100,20190719,1
20192011multint-0001100,20190719,1
20192011multint-1111100,20190719,1
20192511multint-0000010,20190720,1
20192611multint-0000001,20190721,1
20192011multint-1111100,20190722,1
20192011multint-1111100,20190723,1
20192011multint-1111100,20190724,1
20192011multint-0001100,20190725,1
20192011multint-1111100,20190725,1
20192011multint-0000100,20190726,1
20192011multint-0001100,20190726,1
20192011multint-1111100,20190726,1
20192511multint-0000010,20190727,1
20192611multint-0000001,20190728,1
20192011multint-1111100,20190729,1
20192011multint-1111100,20190730,1
20192015multint-1111100,20190731,1
20192011multint-0001100,20190801,1
20192011multint-1111100,20190801,1
20192011multint-0000100,20190802,1
20192011multint-0001100,20190802,1
20192011multint-1111100,20190802,1
20192511multint-0000010,20190803,1
20192611multint-0000001,20190804,1
20192011multint-1111100,20190805,1
20192011multint-1111100,20190806,1
20192015multint-1111100,20190807,1
20192011multint-0001100,20190808,1
20192011multint-1111100,20190808,1
20192011multint-0000100,20190809,1
20192011multint-0001100,20190809,1
20192011multint-1111100,20190809,1
20192511multint-0000010,20190810,1
20192611multint-0000001,20190811,1
20192011multint-1111100,20190812,1
20192011multint-1111100,20190813,1
20192015multint-1111100,20190814,1
20192011multint-0001100,20190815,1
20192011multint-1111100,20190815,1
20192011multint-0000100,20190816,1
20192011multint-0001100,20190816,1
20192011multint-1111100,20190816,1
20193513multint-0000010,20190817,1
20193611multint-0000001,20190818,1
20193011multint-1111100,20190819,1
20193011multint-1111100,20190820,1
20193012multint-1111100,20190821,1
20193011multint-0001100,20190822,1
20193011multint-1111100,20190822,1
20193011multint-0000100,20190823,1
20193011multint-0001100,20190823,1
20193011multint-1111100,20190823,1
20193513multint-0000010,20190824,1
20193611multint-0000001,20190825,1
20193011multint-1111100,20190826,1
20193011multint-1111100,20190827,1
20193011multint-1111100,20190828,1
20193011multint-0001100,20190829,1
20193011multint-1111100,20190829,1
20193011multint-0000100,20190830,1
20193011multint-0001100,20190830,1
20193011multint-1111100,20190830,1
20193511multint-0000010,20190831,1
20193611multint-0000001,20190901,1
20193611multint-0000001,20190902,1
20193011multint-1111100,20190903,1
20193011multint-1111100,20190904,1
20193011multint-0001100,20190905,1
20193011multint-1111100,20190905,1
20193011multint-0000100,20190906,1
20193011multint-0001100,20190906,1
20193011multint-1111100,20190906,1
20193511multint-0000010,20190907,1
20193611multint-0000001,20190908,1
20193011multint-1111100,20190909,1
20193011multint-1111100,20190910,1
20193011multint-1111100,20190911,1
20193011multint-0001100,20190912,1
20193011multint-1111100,20190912,1
20193011multint-0000100,20190913,1
20193011multint-0001100,20190913,1
20193011multint-1111100,20190913,1
20193511multint-0000010,20190914,1
20193611multint-0000001,20190915,1
20193011multint-1111100,20190916,1
20193011multint-1111100,20190917,1
20193011multint-1111100,20190918,1
20193011multint-0001100,20190919,1
20193011multint-1111100,20190919,1
20193011multint-0000100,20190920,1
20193011multint-0001100,20190920,1
20193011multint-1111100,20190920,1
20193511multint-0000010,20190921,1
20193611multint-0000001,20190922,1
20193011multint-1111100,20190923,1
20193011multint-1111100,20190924,1
20193011multint-1111100,20190925,1
20193011multint-0001100,20190926,1
20193011multint-1111100,20190926,1
20193011multint-0000100,20190927,1
20193011multint-0001100,20190927,1
20193011multint-1111100,20190927,1
20193511multint-0000010,20190928,1
20193611multint-0000001,20190929,1
20193011multint-1111100,20190930,1
20193011multint-1111100,20191001,1
20193011multint-1111100,20191002,1
20193011multint-0001100,20191003,1
20193011multint-1111100,20191003,1
20193011multint-0000100,20191004,1
20193011multint-0001100,20191004,1
20193011multint-1111100,20191004,1
20193511multint-0000010,20191005,1
20193611multint-0000001,20191006,1
20193011multint-1111100,20191007,1
20193011multint-1111100,20191008,1
20193011multint-1111100,20191009,1
20193011multint-0001100,20191010,1
20193011multint-1111100,20191010,1
20193011multint-0000100,20191011,1
20193011multint-0001100,20191011,1
20193011multint-1111100,20191011,1
20193511multint-0000010,20191012,1
20193611multint-0000001,20191013,1
20193512multint-0000010,20191014,1
20193011multint-1111100,20191015,1
20193011multint-1111100,20191016,1
20193011multint-0001100,20191017,1
20193011multint-1111100,20191017,1
20193011multint-0000100,20191018,1
20193011multint-0001100,20191018,1
20193011multint-1111100,20191018,1
20193511multint-0000010,20191019,1
20193611multint-0000001,20191020,1
20193011multint-1111100,20191021,1
20193011multint-1111100,20191022,1
20193011multint-1111100,20191023,1
20193011multint-0001100,20191024,1
20193011multint-1111100,20191024,1
20193011multint-0000100,20191025,1
20193011multint-0001100,20191025,1
20193011multint-1111100,20191025,1
20193511multint-0000010,20191026,1
20193611multint-0000001,20191027,1
20193011multint-1111100,20191028,1
20193011multint-1111100,20191029,1
20193011multint-1111100,20191030,1
20193011multint-0001100,20191031,1
20193011multint-1111100,20191031,1
20193011multint-0000100,20191101,1
20193011multint-0001100,20191101,1
20193011multint-1111100,20191101,1
20193511multint-0000010,20191102,1
20193611multint-0000001,20191103,1
20193011multint-1111100,20191104,1
20193011multint-1111100,20191105,1
20193011multint-1111100,20191106,1
20193011multint-0001100,20191107,1
20193011multint-1111100,20191107,1
20193011multint-0000100,20191108,1
20193011multint-0001100,20191108,1
20193011multint-1111100,20191108,1
20193511multint-0000010,20191109,1
20193611multint-0000001,20191110,1
20193011multint-1111100,20191111,1
20193011multint-1111100,20191112,1
20193011multint-1111100,20191113,1
20193011multint-0001100,20191114,1
20193011multint-1111100,20191114,1
20193011multint-0000100,20191115,1
20193011multint-0001100,20191115,1
20193011multint-1111100,20191115,1
20193511multint-0000010,20191116,1
20193611multint-0000001,20191117,1
20193011multint-1111100,20191118,1
20193011multint-1111100,20191119,1
20193011multint-1111100,20191120,1
20193011multint-0001100,20191121,1
20193011multint-1111100,20191121,1
20193011multint-0000100,20191122,1
20193011multint-0001100,20191122,1
20193011multint-1111100,20191122,1
20193511multint-0000010,20191123,1
20193611multint-0000001,20191124,1
20193011multint-1111100,20191125,1
20193011multint-1111100,20191126,1
20193011multint-1111100,20191127,1
20193011multint-0001100,20191128,1
20193011multint-1111100,20191128,1
20193011multint-0000100,20191129,1
20193011multint-0001100,20191129,1
20193011multint-1111100,20191129,1
