from_stop_id,to_stop_id,transfer_type,min_transfer_time
1011,2441,2,300
1011,2878,2,300
1011,1011,2,300
1027,3942,2,180
1027,1027,2,180
1051,1084,2,180
1051,1486,2,180
1051,1051,2,300
1083,1485,2,180
1083,1083,2,300
1084,1051,2,180
1084,1486,2,180
1084,1084,2,180
1163,1400,2,180
1163,1163,2,180
1213,1243,2,300
1213,1324,2,300
1213,1289,2,300
1213,1213,2,300
1243,1324,2,300
1243,1289,2,300
1243,1213,2,300
1243,1243,2,300
1289,1243,2,300
1289,1324,2,180
1289,1213,2,300
1289,1289,2,180
1324,1243,2,300
1324,1289,2,180
1324,1213,2,300
1324,1324,2,180
1337,1361,2,300
1337,2550,2,120
1337,2568,2,300
1337,3326,2,120
1337,3328,2,300
1337,3546,2,120
1337,3569,2,120
1337,5030,2,120
1337,5641,2,120
1337,1337,2,120
1361,3569,2,300
1361,1337,2,300
1361,5030,2,300
1361,3326,2,300
1361,5641,2,300
1361,3546,2,300
1361,3328,2,300
1361,2568,2,300
1361,2550,2,300
1361,1361,2,300
1380,1807,2,300
1380,1392,2,300
1380,1380,2,300
1392,1807,2,300
1392,1380,2,300
1392,1392,2,300
1400,1163,2,180
1400,1400,2,180
1442,2110,2,300
1442,2009,2,300
1442,2384,2,300
1442,1442,2,300
1472,1504,2,300
1472,1472,2,300
1485,1083,2,180
1485,1485,2,180
1486,1084,2,180
1486,1051,2,180
1486,1486,2,180
1504,1472,2,300
1504,1504,2,300
1520,1583,2,300
1520,2111,2,300
1520,1520,2,300
1521,1521,2,300
1559,1999,2,300
1559,1830,2,300
1559,1559,2,300
1575,1736,2,180
1575,1575,2,300
1583,1520,2,300
1583,2111,2,300
1583,1583,2,300
1736,1575,2,180
1736,1736,2,180
1807,1392,2,300
1807,1380,2,300
1807,1807,2,300
1830,1999,2,300
1830,1559,2,300
1830,1830,2,300
1887,3102,2,300
1887,2515,2,300
1887,1887,2,300
1910,2874,2,300
1910,5156,2,300
1910,1910,2,300
1999,1559,2,300
1999,1830,2,300
1999,1999,2,300
2009,1442,2,300
2009,2110,2,300
2009,2384,2,300
2009,2009,2,300
2110,1442,2,300
2110,2009,2,300
2110,2384,2,300
2110,2110,2,300
2111,1520,2,300
2111,1583,2,300
2111,2111,2,300
2114,2114,2,300
2116,2116,2,300
2384,1442,2,300
2384,2110,2,300
2384,2009,2,300
2384,2384,2,300
2515,3102,2,300
2515,1887,2,300
2515,2515,2,300
2539,2633,2,120
2539,2559,2,120
2539,3366,2,120
2539,3064,2,120
2539,2560,2,120
2539,2611,2,120
2539,3023,2,120
2539,3350,2,120
2539,2539,2,120
2550,3569,2,120
2550,1337,2,120
2550,5030,2,120
2550,3326,2,120
2550,5641,2,120
2550,3546,2,120
2550,1361,2,300
2550,3328,2,300
2550,2568,2,300
2550,2550,2,120
2559,2633,2,120
2559,3366,2,120
2559,3064,2,120
2559,2560,2,120
2559,2611,2,120
2559,2539,2,120
2559,3023,2,120
2559,3350,2,120
2559,2559,2,120
2560,2633,2,120
2560,2559,2,120
2560,3366,2,120
2560,3064,2,120
2560,2611,2,120
2560,2539,2,120
2560,3023,2,120
2560,3350,2,120
2560,2560,2,120
2568,3569,2,300
2568,1337,2,300
2568,5030,2,300
2568,3326,2,300
2568,5641,2,300
2568,3546,2,300
2568,1361,2,300
2568,3328,2,300
2568,2550,2,300
2568,2568,2,300
2611,2633,2,120
2611,2559,2,120
2611,3366,2,120
2611,3064,2,120
2611,2560,2,120
2611,2539,2,120
2611,3023,2,120
2611,3350,2,120
2611,2611,2,120
2441,1011,2,300
2441,2878,2,180
2441,2441,2,180
2626,2694,2,120
2626,4716,2,120
2626,3924,2,300
2626,2677,2,120
2626,2626,2,120
2633,3366,2,120
2633,3064,2,120
2633,2560,2,120
2633,2611,2,120
2633,2539,2,120
2633,3023,2,120
2633,2559,2,120
2633,3350,2,120
2633,2633,2,120
2640,3451,2,300
2640,3351,2,300
2640,2640,2,300
2677,2626,2,120
2677,3924,2,300
2677,4716,2,120
2677,2694,2,120
2677,2677,2,120
2694,2626,2,120
2694,2677,2,120
2694,3924,2,300
2694,4716,2,120
2694,2694,2,120
2874,1910,2,300
2874,5156,2,300
2874,2874,2,300
2878,1011,2,300
2878,2441,2,180
2878,2878,2,180
3023,2633,2,120
3023,2559,2,120
3023,3366,2,120
3023,3064,2,120
3023,2560,2,120
3023,2611,2,120
3023,2539,2,120
3023,3350,2,120
3023,3023,2,120
3064,2633,2,120
3064,2559,2,120
3064,3366,2,120
3064,2560,2,120
3064,2611,2,120
3064,2539,2,120
3064,3023,2,120
3064,3350,2,120
3064,3064,2,120
3102,1887,2,300
3102,2515,2,300
3102,3102,2,300
3326,3569,2,120
3326,1337,2,120
3326,5030,2,120
3326,5641,2,120
3326,3546,2,120
3326,1361,2,300
3326,3328,2,300
3326,2568,2,300
3326,2550,2,120
3326,3326,2,120
3328,3569,2,300
3328,1337,2,300
3328,5030,2,300
3328,3326,2,300
3328,5641,2,300
3328,3546,2,300
3328,1361,2,300
3328,2568,2,300
3328,2550,2,300
3328,3328,2,300
3350,2633,2,120
3350,2559,2,120
3350,3366,2,120
3350,3064,2,120
3350,2560,2,120
3350,2611,2,120
3350,2539,2,120
3350,3023,2,120
3350,3350,2,120
3351,2640,2,300
3351,3451,2,300
3351,3351,2,300
3366,2633,2,120
3366,2559,2,120
3366,3064,2,120
3366,2560,2,120
3366,2611,2,120
3366,2539,2,120
3366,3023,2,120
3366,3350,2,120
3366,3366,2,120
3451,2640,2,300
3451,3351,2,300
3451,3451,2,300
3546,3569,2,120
3546,1337,2,120
3546,5030,2,120
3546,3326,2,120
3546,5641,2,120
3546,1361,2,300
3546,3328,2,300
3546,2568,2,300
3546,2550,2,120
3546,3546,2,120
3569,1337,2,120
3569,5030,2,120
3569,3326,2,120
3569,5641,2,120
3569,3546,2,120
3569,1361,2,300
3569,3328,2,300
3569,2568,2,300
3569,2550,2,120
3569,3569,2,120
3634,4093,2,0
3634,4187,2,0
3634,5305,2,0
3634,4148,2,0
3634,3634,2,0
3924,2626,2,300
3924,2677,2,300
3924,4716,2,300
3924,2694,2,300
3924,3924,2,300
3942,1027,2,180
3942,3942,2,300
3943,5697,2,300
3943,5696,2,300
3943,5695,2,300
3943,5693,2,300
3943,5522,2,300
3943,5698,2,300
3943,5700,2,300
3943,5699,2,300
3943,5691,2,300
3943,5701,2,300
3943,5690,2,300
3943,3943,2,300
4093,4187,2,0
4093,5305,2,0
4093,4148,2,0
4093,3634,2,0
4093,4093,2,0
4148,4093,2,0
4148,4187,2,0
4148,5305,2,0
4148,3634,2,0
4148,4148,2,0
4187,4093,2,0
4187,5305,2,0
4187,4148,2,0
4187,3634,2,0
4187,4187,2,0
4716,2626,2,120
4716,2677,2,120
4716,3924,2,300
4716,2694,2,120
4716,4716,2,120
5030,3569,2,120
5030,1337,2,120
5030,3326,2,120
5030,5641,2,120
5030,3546,2,120
5030,1361,2,300
5030,3328,2,300
5030,2568,2,300
5030,2550,2,120
5030,5030,2,120
5156,2874,2,300
5156,1910,2,300
